"p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","Re","Mach","AoA_deg","C_d","C_l","C_m"
"(1.000104,-0.004555)","(0.950285,0.008689)","(0.811186,0.024519)","(0.611356,-0.004236)","(0.390129,-0.061021)","(0.190254,-0.087814)","(0.050906,-0.061025)","(0.000000,0.000000)","(0.047797,0.075599)","(0.185328,0.128678)","(0.385727,0.132381)","(0.608966,0.100795)","(0.810407,0.058741)","(0.949998,0.021268)","(0.999896,0.004555)","9.000000e+06","1.000000e-01","1.200000e+01","1.735597e-02","2.188339e+00","-1.954333e-01"
"(1.000077,-0.004538)","(0.950472,0.000624)","(0.811751,-0.000386)","(0.611739,-0.028111)","(0.389849,-0.065098)","(0.189675,-0.083329)","(0.050547,-0.060415)","(0.000000,0.000000)","(0.048254,0.074207)","(0.186191,0.121239)","(0.386593,0.126038)","(0.609502,0.103231)","(0.810682,0.062376)","(0.950117,0.021423)","(0.999923,0.004538)","9.000000e+06","1.000000e-01","1.200000e+01","1.668277e-02","1.955861e+00","-1.470508e-01"
"(0.999995,-0.001020)","(0.950455,-0.006068)","(0.811629,-0.025258)","(0.611031,-0.050241)","(0.388459,-0.061648)","(0.187997,-0.056705)","(0.049331,-0.041016)","(0.000000,0.000000)","(0.049834,0.069238)","(0.188831,0.126098)","(0.389381,0.140388)","(0.611752,0.107887)","(0.811987,0.053201)","(0.950541,0.012831)","(1.000005,0.001020)","9.000000e+06","1.000000e-01","1.200000e+01","1.505254e-02","1.645906e+00","-6.818443e-02"
"(1.000131,-0.004048)","(0.950345,0.004241)","(0.811740,0.000122)","(0.613050,-0.055162)","(0.392554,-0.117542)","(0.192118,-0.119022)","(0.051570,-0.063226)","(0.000000,0.000000)","(0.047788,0.053298)","(0.185322,0.090416)","(0.385662,0.094832)","(0.608922,0.072049)","(0.810412,0.041050)","(0.949985,0.015326)","(0.999869,0.004048)","9.000000e+06","1.000000e-01","1.200000e+01","1.546849e-02","1.731401e+00","-1.170032e-01"
"(1.000013,-0.002398)","(0.950441,0.007304)","(0.811622,0.021842)","(0.611200,0.010680)","(0.388871,-0.023347)","(0.188531,-0.049177)","(0.049770,-0.045048)","(-0.000000,0.000000)","(0.049064,0.081120)","(0.187427,0.148180)","(0.387832,0.162353)","(0.610557,0.125691)","(0.811363,0.068219)","(0.950368,0.020426)","(0.999987,0.002398)","9.000000e+06","1.000000e-01","1.200000e+01","1.870712e-02","2.245917e+00","-2.058622e-01"
"(1.000032,-0.003400)","(0.950433,0.005222)","(0.811589,0.016426)","(0.611198,0.006522)","(0.388954,-0.022691)","(0.188745,-0.051749)","(0.049986,-0.049546)","(-0.000000,-0.000000)","(0.048750,0.081218)","(0.186913,0.142097)","(0.387265,0.155997)","(0.610037,0.129335)","(0.811025,0.076092)","(0.950256,0.023941)","(0.999968,0.003400)","9.000000e+06","1.000000e-01","1.200000e+01","2.078639e-02","2.182216e+00","-2.029548e-01"
"(1.000018,-0.001289)","(0.950326,0.011233)","(0.811397,0.024895)","(0.611286,-0.001868)","(0.389431,-0.049615)","(0.189149,-0.064110)","(0.050111,-0.042559)","(-0.000000,0.000000)","(0.048570,0.068025)","(0.186374,0.135055)","(0.386558,0.156602)","(0.609587,0.120077)","(0.810881,0.061904)","(0.950239,0.017426)","(0.999982,0.001289)","9.000000e+06","1.000000e-01","1.200000e+01","2.218443e-02","2.125834e+00","-2.030854e-01"
"(0.999994,-0.000955)","(0.950391,-0.014432)","(0.811405,-0.053458)","(0.610732,-0.083257)","(0.388249,-0.077464)","(0.187882,-0.059006)","(0.049263,-0.040200)","(0.000000,0.000000)","(0.049899,0.060160)","(0.188922,0.105089)","(0.389502,0.120066)","(0.611893,0.099793)","(0.812069,0.051178)","(0.950555,0.011454)","(1.000006,0.000955)","9.000000e+06","1.000000e-01","1.200000e+01","1.447990e-02","1.236401e+00","1.952208e-02"
"(1.000034,-0.001823)","(0.950431,0.002757)","(0.811856,-0.006027)","(0.612387,-0.060483)","(0.390902,-0.116080)","(0.190227,-0.105793)","(0.050489,-0.052115)","(0.000000,0.000000)","(0.048522,0.053467)","(0.186379,0.100756)","(0.386735,0.107649)","(0.609952,0.070233)","(0.811193,0.029563)","(0.950323,0.008545)","(0.999966,0.001823)","9.000000e+06","1.000000e-01","1.200000e+01","1.531186e-02","1.618939e+00","-7.929713e-02"
"(1.000083,-0.003975)","(0.950513,-0.001445)","(0.812010,-0.012675)","(0.612642,-0.065929)","(0.391273,-0.120800)","(0.190715,-0.117313)","(0.050848,-0.063447)","(0.000000,-0.000000)","(0.048274,0.059344)","(0.186243,0.096010)","(0.386859,0.089712)","(0.610081,0.056250)","(0.811182,0.026792)","(0.950259,0.010652)","(0.999917,0.003975)","9.000000e+06","1.000000e-01","1.200000e+01","1.386616e-02","1.541494e+00","-5.104561e-02"
"(1.000030,-0.001802)","(0.950377,0.006386)","(0.811612,0.008063)","(0.611919,-0.040078)","(0.390398,-0.100878)","(0.189883,-0.099002)","(0.050361,-0.051325)","(0.000000,0.000000)","(0.048522,0.060583)","(0.186360,0.115298)","(0.386750,0.121068)","(0.610010,0.076012)","(0.811232,0.031137)","(0.950330,0.009248)","(0.999970,0.001802)","9.000000e+06","1.000000e-01","1.200000e+01","1.669458e-02","1.795361e+00","-1.105877e-01"
"(1.000012,-0.001924)","(0.950491,-0.001365)","(0.811818,-0.012007)","(0.611545,-0.045992)","(0.389219,-0.077479)","(0.188730,-0.076621)","(0.049817,-0.048377)","(-0.000000,-0.000000)","(0.049102,0.067193)","(0.187506,0.121218)","(0.387928,0.131195)","(0.610660,0.096891)","(0.811448,0.047895)","(0.950400,0.013222)","(0.999988,0.001924)","9.000000e+06","1.000000e-01","1.200000e+01","1.504564e-02","1.758259e+00","-9.634741e-02"
"(1.000013,-0.001590)","(0.950482,0.000035)","(0.811827,-0.009985)","(0.611720,-0.055393)","(0.389578,-0.100833)","(0.189026,-0.092634)","(0.049931,-0.049722)","(0.000000,0.000000)","(0.049001,0.062197)","(0.187303,0.114668)","(0.387753,0.118808)","(0.610636,0.075071)","(0.811496,0.029913)","(0.950416,0.007917)","(0.999987,0.001590)","9.000000e+06","1.000000e-01","1.200000e+01","1.476442e-02","1.638544e+00","-6.648168e-02"
