"p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","Re","Mach","AoA_deg","C_d","C_l","C_m"
"(1.000110,-0.004852)","(0.950538,-0.002491)","(0.812052,-0.013656)","(0.612544,-0.056897)","(0.391004,-0.100304)","(0.190656,-0.106354)","(0.050993,-0.065374)","(-0.000000,0.000000)","(0.048066,0.064314)","(0.185993,0.100248)","(0.386498,0.099327)","(0.609485,0.078638)","(0.810672,0.047483)","(0.950086,0.017560)","(0.999890,0.004852)","9.000000e+06","1.000000e-01","4.000000e+00","8.874721e-03","7.948128e-01","-9.470573e-02"
"(0.999997,-0.001187)","(0.950479,-0.001744)","(0.811722,-0.010592)","(0.611204,-0.026445)","(0.388659,-0.038244)","(0.188162,-0.044654)","(0.049435,-0.039152)","(0.000000,0.000000)","(0.049671,0.072820)","(0.188540,0.134651)","(0.389066,0.154635)","(0.611525,0.125818)","(0.811885,0.066968)","(0.950519,0.017335)","(1.000003,0.001187)","9.000000e+06","1.000000e-01","4.000000e+00","8.952305e-03","1.106926e+00","-1.349822e-01"
"(1.000006,-0.002312)","(0.950477,0.001812)","(0.811735,0.003494)","(0.611305,-0.016902)","(0.388867,-0.047907)","(0.188420,-0.061525)","(0.049645,-0.047629)","(0.000000,0.000000)","(0.049310,0.078105)","(0.187884,0.139677)","(0.388344,0.148603)","(0.610968,0.109840)","(0.811594,0.056303)","(0.950439,0.016405)","(0.999994,0.002312)","9.000000e+06","1.000000e-01","4.000000e+00","8.950503e-03","1.171691e+00","-1.453684e-01"
"(1.000003,-0.000853)","(0.950501,-0.005302)","(0.811846,-0.028816)","(0.611524,-0.074349)","(0.389108,-0.103748)","(0.188559,-0.085475)","(0.049677,-0.044977)","(-0.000000,0.000000)","(0.049315,0.057085)","(0.187878,0.106370)","(0.388330,0.115491)","(0.610981,0.078720)","(0.811629,0.032324)","(0.950458,0.006964)","(0.999997,0.000853)","9.000000e+06","1.000000e-01","4.000000e+00","6.517193e-03","5.546541e-01","-1.261169e-02"
"(1.000053,-0.003332)","(0.950324,0.009963)","(0.811296,0.028192)","(0.611209,0.003238)","(0.389556,-0.051320)","(0.189465,-0.076077)","(0.050375,-0.053931)","(0.000000,0.000000)","(0.048292,0.077148)","(0.186058,0.138276)","(0.386436,0.144995)","(0.609587,0.105271)","(0.810851,0.056215)","(0.950183,0.018807)","(0.999947,0.003332)","9.000000e+06","1.000000e-01","4.000000e+00","9.884847e-03","1.366373e+00","-2.027251e-01"
"(1.000005,-0.000757)","(0.950401,0.012749)","(0.811526,0.034184)","(0.611058,0.031569)","(0.388717,0.003628)","(0.188414,-0.024695)","(0.049722,-0.031884)","(0.000000,0.000000)","(0.049041,0.074602)","(0.187299,0.149712)","(0.387580,0.181381)","(0.610290,0.151769)","(0.811205,0.084288)","(0.950335,0.023052)","(0.999995,0.000757)","9.000000e+06","1.000000e-01","4.000000e+00","1.075147e-02","1.682921e+00","-2.809320e-01"
"(1.000003,-0.000903)","(0.950442,0.011419)","(0.811632,0.032119)","(0.611146,0.032417)","(0.388713,0.007807)","(0.188332,-0.021708)","(0.049630,-0.032136)","(0.000000,0.000000)","(0.049246,0.077454)","(0.187721,0.152633)","(0.388102,0.181924)","(0.610731,0.150955)","(0.811451,0.083638)","(0.950402,0.022949)","(0.999997,0.000903)","9.000000e+06","1.000000e-01","4.000000e+00","1.107060e-02","1.666217e+00","-2.720190e-01"
"(1.000104,-0.004234)","(0.950358,0.005057)","(0.811526,0.008891)","(0.612058,-0.032550)","(0.390941,-0.089792)","(0.190771,-0.102630)","(0.051042,-0.062188)","(0.000000,0.000000)","(0.047885,0.066596)","(0.185497,0.112560)","(0.385923,0.114911)","(0.609173,0.085145)","(0.810571,0.047879)","(0.950055,0.017451)","(0.999896,0.004234)","9.000000e+06","1.000000e-01","4.000000e+00","9.243764e-03","1.031408e+00","-1.468722e-01"
"(1.000031,-0.002010)","(0.950536,-0.003549)","(0.812125,-0.024952)","(0.612216,-0.062607)","(0.390008,-0.083062)","(0.189427,-0.076726)","(0.050237,-0.047142)","(0.000000,0.000000)","(0.048687,0.054441)","(0.186749,0.098733)","(0.386893,0.121029)","(0.609581,0.109988)","(0.810768,0.063980)","(0.950212,0.017730)","(0.999969,0.002010)","9.000000e+06","1.000000e-01","4.000000e+00","8.695981e-03","8.262241e-01","-1.037630e-01"
"(1.000050,-0.003863)","(0.950563,-0.006262)","(0.812063,-0.024746)","(0.612250,-0.076782)","(0.390337,-0.123818)","(0.189743,-0.115340)","(0.050330,-0.062998)","(-0.000000,0.000000)","(0.048717,0.062104)","(0.187003,0.097192)","(0.387652,0.084390)","(0.610671,0.045660)","(0.811517,0.017641)","(0.950386,0.007453)","(0.999950,0.003863)","9.000000e+06","1.000000e-01","4.000000e+00","7.673362e-03","3.961838e-01","1.316236e-02"
"(1.000027,-0.003370)","(0.950533,-0.006353)","(0.811940,-0.024364)","(0.611758,-0.061881)","(0.389475,-0.091415)","(0.188979,-0.089836)","(0.049976,-0.056916)","(0.000000,0.000000)","(0.048970,0.068062)","(0.187361,0.111279)","(0.387845,0.111222)","(0.610607,0.081135)","(0.811405,0.042167)","(0.950375,0.013368)","(0.999973,0.003370)","9.000000e+06","1.000000e-01","4.000000e+00","7.967424e-03","6.911413e-01","-4.713484e-02"
"(0.999982,-0.002295)","(0.950409,-0.009285)","(0.811519,-0.028634)","(0.610905,-0.045167)","(0.388351,-0.049366)","(0.187841,-0.052760)","(0.049155,-0.046137)","(0.000000,0.000000)","(0.050133,0.078225)","(0.189296,0.132150)","(0.389834,0.138983)","(0.612110,0.107969)","(0.812191,0.056735)","(0.950603,0.015393)","(1.000018,0.002295)","9.000000e+06","1.000000e-01","4.000000e+00","8.853232e-03","8.541561e-01","-6.151365e-02"
"(0.999997,-0.000620)","(0.950449,-0.006743)","(0.811599,-0.029183)","(0.610967,-0.058638)","(0.388385,-0.071143)","(0.187954,-0.060559)","(0.049318,-0.039957)","(0.000000,-0.000000)","(0.049847,0.065918)","(0.188864,0.121960)","(0.389419,0.136152)","(0.611769,0.101921)","(0.811982,0.047683)","(0.950535,0.010642)","(1.000003,0.000620)","9.000000e+06","1.000000e-01","4.000000e+00","6.957358e-03","7.451421e-01","-4.376617e-02"
"(1.000042,-0.003239)","(0.950603,-0.009310)","(0.812243,-0.038348)","(0.612378,-0.086005)","(0.390213,-0.113368)","(0.189564,-0.100623)","(0.050261,-0.057172)","(0.000000,0.000000)","(0.048785,0.056353)","(0.187086,0.090008)","(0.387545,0.091957)","(0.610339,0.070900)","(0.811252,0.037901)","(0.950329,0.011824)","(0.999958,0.003239)","9.000000e+06","1.000000e-01","4.000000e+00","7.562055e-03","4.558456e-01","-5.548465e-03"
"(1.000036,-0.002738)","(0.950560,-0.006002)","(0.812121,-0.029041)","(0.612276,-0.078322)","(0.390218,-0.113920)","(0.189574,-0.101589)","(0.050238,-0.055468)","(0.000000,0.000000)","(0.048781,0.056809)","(0.187016,0.095578)","(0.387469,0.097907)","(0.610357,0.069590)","(0.811307,0.033686)","(0.950350,0.010197)","(0.999964,0.002738)","9.000000e+06","1.000000e-01","4.000000e+00","7.365910e-03","5.187241e-01","-1.898504e-02"
"(1.000009,-0.001353)","(0.950539,-0.008935)","(0.812003,-0.040971)","(0.611843,-0.092284)","(0.389492,-0.118992)","(0.188856,-0.095000)","(0.049822,-0.048146)","(-0.000000,0.000000)","(0.049192,0.051608)","(0.187677,0.091658)","(0.388123,0.097626)","(0.610836,0.067127)","(0.811568,0.027819)","(0.950443,0.006204)","(0.999991,0.001353)","9.000000e+06","1.000000e-01","4.000000e+00","6.512630e-03","3.526752e-01","2.802210e-02"
"(1.000086,-0.005185)","(0.950523,-0.002430)","(0.811878,-0.008052)","(0.611977,-0.043259)","(0.390161,-0.085750)","(0.189899,-0.099181)","(0.050616,-0.066307)","(0.000000,0.000000)","(0.048288,0.074202)","(0.186352,0.114888)","(0.386947,0.108248)","(0.609942,0.079546)","(0.810976,0.046385)","(0.950189,0.017688)","(0.999914,0.005185)","9.000000e+06","1.000000e-01","4.000000e+00","9.103191e-03","8.795926e-01","-9.896459e-02"
"(1.000006,-0.001054)","(0.950477,0.000960)","(0.811777,-0.006062)","(0.611360,-0.018448)","(0.388878,-0.025363)","(0.188449,-0.035463)","(0.049710,-0.035407)","(0.000000,0.000000)","(0.049160,0.065900)","(0.187570,0.126279)","(0.387876,0.159104)","(0.610466,0.146123)","(0.811280,0.085359)","(0.950359,0.022611)","(0.999994,0.001054)","9.000000e+06","1.000000e-01","4.000000e+00","1.136405e-02","1.202106e+00","-1.842483e-01"
"(1.000026,-0.001173)","(0.950467,0.000702)","(0.812153,-0.018374)","(0.612884,-0.072962)","(0.391273,-0.113796)","(0.190417,-0.097072)","(0.050557,-0.046698)","(0.000000,0.000000)","(0.048552,0.043381)","(0.186323,0.086831)","(0.386326,0.108444)","(0.609266,0.089559)","(0.810713,0.046328)","(0.950214,0.012072)","(0.999974,0.001173)","9.000000e+06","1.000000e-01","4.000000e+00","8.222953e-03","7.001311e-01","-8.410125e-02"
"(1.000044,-0.003470)","(0.950603,-0.009491)","(0.812225,-0.037669)","(0.612426,-0.091374)","(0.390375,-0.128107)","(0.189692,-0.112555)","(0.050287,-0.060292)","(0.000000,0.000000)","(0.048802,0.056065)","(0.187144,0.087149)","(0.387722,0.079802)","(0.610623,0.049897)","(0.811463,0.022022)","(0.950383,0.007796)","(0.999956,0.003470)","9.000000e+06","1.000000e-01","4.000000e+00","7.351945e-03","2.955932e-01","3.334708e-02"
"(0.999997,-0.002389)","(0.950466,-0.012100)","(0.811686,-0.042607)","(0.611145,-0.083779)","(0.388597,-0.104046)","(0.188134,-0.088794)","(0.049446,-0.052610)","(0.000000,-0.000000)","(0.049607,0.064946)","(0.188402,0.106244)","(0.388880,0.102324)","(0.611351,0.066103)","(0.811782,0.027643)","(0.950492,0.007307)","(1.000003,0.002389)","9.000000e+06","1.000000e-01","4.000000e+00","6.861779e-03","3.782851e-01","3.960827e-02"
"(1.000047,-0.004092)","(0.950516,-0.003002)","(0.811872,-0.011255)","(0.611635,-0.032972)","(0.389360,-0.054527)","(0.189054,-0.070150)","(0.050155,-0.056058)","(0.000000,0.000000)","(0.048670,0.074505)","(0.186871,0.121783)","(0.387250,0.131026)","(0.609969,0.113483)","(0.810954,0.069447)","(0.950228,0.022340)","(0.999953,0.004092)","9.000000e+06","1.000000e-01","4.000000e+00","1.001118e-02","1.068311e+00","-1.441312e-01"
"(1.000008,-0.000679)","(0.950481,0.000096)","(0.811917,-0.015539)","(0.611908,-0.058204)","(0.389748,-0.090555)","(0.189135,-0.078968)","(0.049990,-0.042476)","(-0.000000,-0.000000)","(0.048914,0.054204)","(0.187062,0.107226)","(0.387314,0.128090)","(0.610143,0.100327)","(0.811196,0.049239)","(0.950349,0.011939)","(0.999992,0.000679)","9.000000e+06","1.000000e-01","4.000000e+00","6.925559e-03","8.371792e-01","-9.334827e-02"
"(1.000014,-0.000778)","(0.950409,0.004212)","(0.811825,-0.004629)","(0.612029,-0.044029)","(0.390112,-0.078525)","(0.189545,-0.073805)","(0.050240,-0.041362)","(-0.000000,0.000000)","(0.048599,0.052593)","(0.186377,0.107555)","(0.386355,0.136512)","(0.609224,0.116563)","(0.810645,0.062920)","(0.950197,0.016317)","(0.999986,0.000778)","9.000000e+06","1.000000e-01","4.000000e+00","8.094558e-03","1.047495e+00","-1.564303e-01"
"(1.000044,-0.002482)","(0.950638,-0.008744)","(0.812505,-0.042637)","(0.612963,-0.095473)","(0.390889,-0.120483)","(0.190050,-0.100596)","(0.050460,-0.052804)","(0.000000,0.000000)","(0.048704,0.045621)","(0.186889,0.076608)","(0.387169,0.088055)","(0.609900,0.076275)","(0.810984,0.042610)","(0.950266,0.012135)","(0.999956,0.002482)","9.000000e+06","1.000000e-01","4.000000e+00","7.631833e-03","4.168421e-01","-9.558141e-03"
"(1.000000,-0.000291)","(0.950481,0.010765)","(0.811742,0.029305)","(0.611258,0.029101)","(0.388739,0.006608)","(0.188257,-0.018889)","(0.049520,-0.029179)","(0.000000,0.000000)","(0.049511,0.076746)","(0.188243,0.154061)","(0.388725,0.184255)","(0.611248,0.150022)","(0.811737,0.080412)","(0.950481,0.021046)","(1.000000,0.000291)","9.000000e+06","1.000000e-01","4.000000e+00","1.029874e-02","1.625176e+00","-2.572780e-01"
"(0.999990,-0.003244)","(0.950450,-0.010035)","(0.811647,-0.030169)","(0.611104,-0.048509)","(0.388565,-0.054502)","(0.188062,-0.060516)","(0.049353,-0.051440)","(0.000000,0.000000)","(0.049768,0.078059)","(0.188662,0.126546)","(0.389159,0.130639)","(0.611597,0.104923)","(0.811932,0.058693)","(0.950538,0.017323)","(1.000010,0.003244)","9.000000e+06","1.000000e-01","4.000000e+00","9.083302e-03","8.334941e-01","-6.401782e-02"
"(1.000040,-0.002836)","(0.950392,0.006422)","(0.811540,0.014591)","(0.611418,-0.011248)","(0.389501,-0.054362)","(0.189263,-0.071932)","(0.050232,-0.051043)","(0.000000,0.000000)","(0.048495,0.073050)","(0.186406,0.132080)","(0.386717,0.144483)","(0.609692,0.111981)","(0.810886,0.061292)","(0.950215,0.019100)","(0.999960,0.002836)","9.000000e+06","1.000000e-01","4.000000e+00","9.451416e-03","1.283700e+00","-1.893839e-01"
"(1.000044,-0.003455)","(0.950520,-0.002970)","(0.811932,-0.014892)","(0.611801,-0.042861)","(0.389576,-0.066220)","(0.189197,-0.074573)","(0.050198,-0.053934)","(0.000000,-0.000000)","(0.048652,0.068577)","(0.186802,0.115198)","(0.387133,0.127333)","(0.609873,0.109937)","(0.810917,0.065535)","(0.950226,0.020315)","(0.999956,0.003455)","9.000000e+06","1.000000e-01","4.000000e+00","9.401096e-03","9.903664e-01","-1.296815e-01"
"(0.999996,-0.000754)","(0.950419,-0.010831)","(0.811497,-0.042446)","(0.610791,-0.080758)","(0.388193,-0.094089)","(0.187827,-0.073858)","(0.049269,-0.042843)","(0.000000,-0.000000)","(0.049876,0.061674)","(0.188898,0.110559)","(0.389423,0.117538)","(0.611731,0.080991)","(0.811938,0.033309)","(0.950520,0.006503)","(1.000004,0.000754)","9.000000e+06","1.000000e-01","4.000000e+00","6.528372e-03","4.614166e-01","2.470433e-02"
"(1.000013,-0.003587)","(0.950504,-0.006240)","(0.811814,-0.019949)","(0.611420,-0.045506)","(0.388976,-0.066899)","(0.188518,-0.074378)","(0.049713,-0.055445)","(0.000000,-0.000000)","(0.049249,0.076236)","(0.187818,0.124292)","(0.388297,0.125777)","(0.610920,0.096421)","(0.811557,0.052990)","(0.950424,0.016645)","(0.999987,0.003587)","9.000000e+06","1.000000e-01","4.000000e+00","8.738698e-03","8.731256e-01","-8.080756e-02"
"(1.000019,-0.001061)","(0.950403,0.004350)","(0.811807,-0.003487)","(0.612150,-0.049177)","(0.390429,-0.093271)","(0.189820,-0.086370)","(0.050336,-0.045194)","(-0.000000,0.000000)","(0.048558,0.053027)","(0.186330,0.106340)","(0.386430,0.127572)","(0.609451,0.099893)","(0.810835,0.050215)","(0.950243,0.013233)","(0.999981,0.001061)","9.000000e+06","1.000000e-01","4.000000e+00","7.275492e-03","9.482476e-01","-1.285908e-01"
"(1.000001,-0.000948)","(0.950497,-0.012690)","(0.811806,-0.052435)","(0.611377,-0.098557)","(0.388870,-0.110235)","(0.188354,-0.083125)","(0.049570,-0.044117)","(0.000000,0.000000)","(0.049457,0.051233)","(0.188148,0.090722)","(0.388621,0.100835)","(0.611170,0.076002)","(0.811704,0.034220)","(0.950474,0.006994)","(0.999999,0.000948)","9.000000e+06","1.000000e-01","4.000000e+00","6.408620e-03","3.143425e-01","4.432860e-02"
"(1.000139,-0.005257)","(0.950506,-0.000909)","(0.811976,-0.008732)","(0.612827,-0.059072)","(0.391795,-0.115163)","(0.191450,-0.120419)","(0.051357,-0.069325)","(0.000000,0.000000)","(0.047867,0.062245)","(0.185737,0.094959)","(0.386431,0.087063)","(0.609645,0.060890)","(0.810806,0.035354)","(0.950084,0.015031)","(0.999861,0.005257)","9.000000e+06","1.000000e-01","4.000000e+00","8.984289e-03","6.972169e-01","-7.645781e-02"
"(1.000052,-0.002392)","(0.950412,0.003202)","(0.811834,-0.004095)","(0.612361,-0.050450)","(0.390870,-0.097587)","(0.190343,-0.095634)","(0.050666,-0.052603)","(0.000000,0.000000)","(0.048299,0.055861)","(0.186002,0.103271)","(0.386172,0.117660)","(0.609236,0.092746)","(0.810661,0.049625)","(0.950155,0.014984)","(0.999948,0.002392)","9.000000e+06","1.000000e-01","4.000000e+00","8.165472e-03","9.166594e-01","-1.254898e-01"
"(1.000111,-0.004800)","(0.950332,0.006467)","(0.811341,0.017351)","(0.611624,-0.015666)","(0.390418,-0.072271)","(0.190463,-0.095083)","(0.050992,-0.063478)","(0.000000,-0.000000)","(0.047801,0.073935)","(0.185401,0.122950)","(0.385871,0.123548)","(0.609109,0.092631)","(0.810490,0.053997)","(0.950015,0.020112)","(0.999889,0.004800)","9.000000e+06","1.000000e-01","4.000000e+00","1.021694e-02","1.196062e+00","-1.782592e-01"
"(1.000011,-0.003685)","(0.950482,0.000213)","(0.811732,0.003914)","(0.611289,-0.009552)","(0.388850,-0.036929)","(0.188435,-0.060058)","(0.049677,-0.053301)","(0.000000,0.000000)","(0.049264,0.085076)","(0.187829,0.143067)","(0.388303,0.146248)","(0.610928,0.111254)","(0.811560,0.061809)","(0.950423,0.019850)","(0.999989,0.003685)","9.000000e+06","1.000000e-01","4.000000e+00","9.996548e-03","1.229548e+00","-1.570780e-01"
"(1.000068,-0.003697)","(0.950480,0.000106)","(0.811875,-0.007065)","(0.612111,-0.045955)","(0.390361,-0.087514)","(0.189991,-0.093683)","(0.050600,-0.058440)","(-0.000000,0.000000)","(0.048306,0.065409)","(0.186213,0.110242)","(0.386586,0.116293)","(0.609566,0.091414)","(0.810785,0.051789)","(0.950164,0.017204)","(0.999932,0.003697)","9.000000e+06","1.000000e-01","4.000000e+00","8.885034e-03","9.332895e-01","-1.203097e-01"
"(1.000005,-0.000443)","(0.950459,0.002156)","(0.811839,-0.009011)","(0.611806,-0.051677)","(0.389681,-0.089098)","(0.189089,-0.078828)","(0.049958,-0.041645)","(0.000000,0.000000)","(0.048930,0.055591)","(0.187072,0.112077)","(0.387342,0.132315)","(0.610211,0.099277)","(0.811253,0.046433)","(0.950366,0.010988)","(0.999995,0.000443)","9.000000e+06","1.000000e-01","4.000000e+00","6.726175e-03","8.855912e-01","-1.013783e-01"
"(1.000017,-0.001635)","(0.950493,-0.001005)","(0.811904,-0.014976)","(0.611895,-0.059581)","(0.389790,-0.098548)","(0.189211,-0.089616)","(0.050040,-0.049007)","(0.000000,0.000000)","(0.048887,0.059170)","(0.187092,0.109202)","(0.387473,0.118874)","(0.610361,0.084398)","(0.811329,0.038963)","(0.950371,0.010411)","(0.999983,0.001635)","9.000000e+06","1.000000e-01","4.000000e+00","7.185666e-03","7.454634e-01","-6.643448e-02"
"(1.000022,-0.001742)","(0.950465,0.001330)","(0.811841,-0.007474)","(0.611750,-0.037996)","(0.389575,-0.064718)","(0.189128,-0.067532)","(0.050098,-0.044915)","(0.000000,0.000000)","(0.048720,0.061777)","(0.186760,0.115906)","(0.386947,0.138921)","(0.609722,0.119116)","(0.810881,0.066851)","(0.950243,0.018529)","(0.999978,0.001742)","9.000000e+06","1.000000e-01","4.000000e+00","8.939029e-03","1.075879e+00","-1.537784e-01"
"(0.999982,-0.001163)","(0.950410,-0.004551)","(0.811567,-0.011171)","(0.611045,-0.013569)","(0.388495,-0.015447)","(0.187817,-0.027690)","(0.048935,-0.036729)","(-0.000000,0.000000)","(0.050873,0.085452)","(0.190683,0.153083)","(0.391354,0.164823)","(0.613233,0.124418)","(0.812733,0.062363)","(0.950731,0.015682)","(1.000018,0.001163)","9.000000e+06","1.000000e-01","4.000000e+00","9.376050e-03","1.121191e+00","-1.110558e-01"
"(1.000038,-0.004257)","(0.950568,-0.009533)","(0.812032,-0.032129)","(0.611886,-0.069926)","(0.389599,-0.095870)","(0.189105,-0.094837)","(0.050068,-0.061468)","(0.000000,0.000000)","(0.048902,0.068795)","(0.187311,0.105503)","(0.387839,0.100598)","(0.610589,0.074924)","(0.811372,0.041523)","(0.950355,0.014248)","(0.999962,0.004257)","9.000000e+06","1.000000e-01","4.000000e+00","8.078212e-03","5.931017e-01","-2.572461e-02"
"(1.000004,-0.001168)","(0.950454,0.007672)","(0.811674,0.019159)","(0.611225,0.009627)","(0.388802,-0.016754)","(0.188394,-0.037546)","(0.049654,-0.037137)","(-0.000000,0.000000)","(0.049239,0.075832)","(0.187718,0.146249)","(0.388113,0.170452)","(0.610753,0.137812)","(0.811470,0.074485)","(0.950407,0.020364)","(0.999996,0.001168)","9.000000e+06","1.000000e-01","4.000000e+00","9.932392e-03","1.476890e+00","-2.254119e-01"
"(1.000032,-0.003116)","(0.950580,-0.009443)","(0.812130,-0.037491)","(0.611993,-0.071166)","(0.389590,-0.082496)","(0.189057,-0.077793)","(0.050059,-0.052511)","(0.000000,0.000000)","(0.048891,0.060816)","(0.187235,0.099160)","(0.387590,0.111672)","(0.610218,0.101151)","(0.811119,0.060728)","(0.950298,0.017900)","(0.999968,0.003116)","9.000000e+06","1.000000e-01","4.000000e+00","8.475194e-03","6.833762e-01","-5.874157e-02"
"(1.000065,-0.003747)","(0.950369,0.006542)","(0.811448,0.017108)","(0.611318,-0.003368)","(0.389490,-0.043377)","(0.189445,-0.068835)","(0.050452,-0.054034)","(-0.000000,0.000000)","(0.048211,0.075591)","(0.185975,0.131988)","(0.386234,0.144994)","(0.609182,0.120268)","(0.810508,0.071536)","(0.950079,0.023355)","(0.999935,0.003747)","9.000000e+06","1.000000e-01","4.000000e+00","1.063837e-02","1.380124e+00","-2.191768e-01"
"(0.999999,-0.001047)","(0.950483,0.000901)","(0.811742,-0.003097)","(0.611244,-0.024472)","(0.388707,-0.048352)","(0.188220,-0.053819)","(0.049490,-0.040598)","(0.000000,-0.000000)","(0.049567,0.072858)","(0.188348,0.136999)","(0.388843,0.153349)","(0.611338,0.115910)","(0.811783,0.057490)","(0.950492,0.014734)","(1.000001,0.001047)","9.000000e+06","1.000000e-01","4.000000e+00","8.128393e-03","1.118064e+00","-1.334291e-01"
"(1.000067,-0.002625)","(0.950434,0.001901)","(0.811992,-0.009765)","(0.612986,-0.068119)","(0.391900,-0.124711)","(0.191159,-0.114546)","(0.050948,-0.056449)","(0.000000,0.000000)","(0.048270,0.049252)","(0.186000,0.089029)","(0.386316,0.095636)","(0.609556,0.067253)","(0.810922,0.032447)","(0.950215,0.010549)","(0.999933,0.002625)","9.000000e+06","1.000000e-01","4.000000e+00","7.863956e-03","6.472619e-01","-6.933020e-02"
"(1.000004,-0.003701)","(0.950486,-0.003620)","(0.811754,-0.008511)","(0.611290,-0.026723)","(0.388797,-0.050414)","(0.188330,-0.066355)","(0.049579,-0.054773)","(0.000000,0.000000)","(0.049425,0.083035)","(0.188102,0.136800)","(0.388586,0.136926)","(0.611145,0.102172)","(0.811682,0.055596)","(0.950462,0.017762)","(0.999996,0.003701)","9.000000e+06","1.000000e-01","4.000000e+00","9.181903e-03","1.040357e+00","-1.116639e-01"
"(1.000001,-0.001049)","(0.950479,0.004575)","(0.811739,0.009081)","(0.611267,-0.011191)","(0.388767,-0.043503)","(0.188289,-0.053942)","(0.049543,-0.040656)","(0.000000,0.000000)","(0.049471,0.075153)","(0.188167,0.143177)","(0.388642,0.158431)","(0.611189,0.115580)","(0.811710,0.055885)","(0.950473,0.014654)","(0.999999,0.001049)","9.000000e+06","1.000000e-01","4.000000e+00","8.259130e-03","1.233785e+00","-1.575022e-01"
"(1.000058,-0.003967)","(0.950374,0.007483)","(0.811409,0.023071)","(0.611327,-0.004596)","(0.389628,-0.061204)","(0.189487,-0.084841)","(0.050369,-0.058617)","(0.000000,0.000000)","(0.048362,0.079613)","(0.186269,0.136891)","(0.386780,0.134983)","(0.609936,0.091202)","(0.811061,0.047092)","(0.950236,0.016984)","(0.999942,0.003967)","9.000000e+06","1.000000e-01","4.000000e+00","9.879361e-03","1.228518e+00","-1.660711e-01"
"(1.000062,-0.003821)","(0.950391,0.005616)","(0.811508,0.014593)","(0.611494,-0.014424)","(0.389775,-0.063888)","(0.189610,-0.083598)","(0.050450,-0.057578)","(0.000000,0.000000)","(0.048296,0.075413)","(0.186151,0.129962)","(0.386572,0.133813)","(0.609659,0.098821)","(0.810865,0.054256)","(0.950182,0.018567)","(0.999938,0.003821)","9.000000e+06","1.000000e-01","4.000000e+00","9.617867e-03","1.207458e+00","-1.706189e-01"
"(0.999988,-0.000618)","(0.950270,-0.011346)","(0.811078,-0.035630)","(0.610464,-0.042550)","(0.388202,-0.028733)","(0.187745,-0.027315)","(0.048883,-0.033931)","(0.000000,0.000000)","(0.050967,0.077466)","(0.190837,0.137948)","(0.391612,0.153486)","(0.613551,0.122448)","(0.812907,0.062179)","(0.950747,0.014176)","(1.000012,0.000618)","9.000000e+06","1.000000e-01","4.000000e+00","9.089986e-03","8.406847e-01","-4.808698e-02"
"(1.000032,-0.003172)","(0.950495,-0.001227)","(0.811824,-0.007998)","(0.611527,-0.026744)","(0.389188,-0.044863)","(0.188851,-0.059604)","(0.050016,-0.049884)","(0.000000,-0.000000)","(0.048795,0.072293)","(0.187014,0.124312)","(0.387329,0.141173)","(0.610013,0.124775)","(0.810994,0.075120)","(0.950255,0.022704)","(0.999968,0.003172)","9.000000e+06","1.000000e-01","4.000000e+00","1.040376e-02","1.145005e+00","-1.643468e-01"
"(1.000006,-0.000659)","(0.950486,-0.000394)","(0.811878,-0.015726)","(0.611781,-0.061040)","(0.389576,-0.097946)","(0.188975,-0.084300)","(0.049891,-0.043744)","(0.000000,0.000000)","(0.049040,0.055961)","(0.187322,0.109373)","(0.387681,0.124112)","(0.610506,0.088326)","(0.811413,0.038749)","(0.950406,0.008935)","(0.999994,0.000659)","9.000000e+06","1.000000e-01","4.000000e+00","6.630673e-03","7.437555e-01","-6.437579e-02"
"(1.000005,-0.000723)","(0.950522,-0.005614)","(0.811976,-0.032584)","(0.611777,-0.072763)","(0.389377,-0.089754)","(0.188776,-0.073273)","(0.049811,-0.041352)","(0.000000,0.000000)","(0.049143,0.052724)","(0.187542,0.100525)","(0.387873,0.122045)","(0.610537,0.101757)","(0.811373,0.052337)","(0.950395,0.012328)","(0.999995,0.000723)","9.000000e+06","1.000000e-01","4.000000e+00","7.034994e-03","6.823077e-01","-5.459005e-02"
"(1.000018,-0.002354)","(0.950476,0.000847)","(0.811768,-0.003145)","(0.611523,-0.035210)","(0.389283,-0.072732)","(0.188837,-0.077897)","(0.049895,-0.050613)","(0.000000,0.000000)","(0.048988,0.070970)","(0.187310,0.126745)","(0.387741,0.133844)","(0.610542,0.096189)","(0.811389,0.047615)","(0.950378,0.014000)","(0.999982,0.002354)","9.000000e+06","1.000000e-01","4.000000e+00","8.312664e-03","9.894374e-01","-1.122821e-01"
"(1.000026,-0.002919)","(0.950513,-0.003365)","(0.811890,-0.016104)","(0.611605,-0.037978)","(0.389218,-0.052666)","(0.188816,-0.061654)","(0.049964,-0.049112)","(0.000000,0.000000)","(0.048890,0.069165)","(0.187177,0.118877)","(0.387503,0.136264)","(0.610158,0.121410)","(0.811085,0.072590)","(0.950288,0.021418)","(0.999974,0.002919)","9.000000e+06","1.000000e-01","4.000000e+00","9.907212e-03","1.032730e+00","-1.384335e-01"
